,id_website,description
0,111345259,"Situé dans une résidence hôtelière, très agréable 2 pièces meublé. Entrée, salon, cuisine aménagée et équipée, chambre, salle de bains et WC indépendant. Place de Parking dans l'immeuble inclus dans le loyer."
1,125999129,"Dans un résidence de 2013, à 3 minutes de centre ville et du métro d'Issy, beau 3 pièces au 2 éme étage avec ascenseur composé d'une entrée, d'un salon avec parquet donnant sur une petite terrasse, cuisine américaine équipée, 2 chambres, une salle de bains et un toilette indépendant. Très lumineux et calme. 2 places de parking en sous-sol."
2,140113415,"Idéalement située sur l'Île St Germain, nous vous proposons cette agréable maison construite dans les années 1930 sur un terrain de 300m², elle se compose d'une entrée, un bureau, séjour avec cuisine ouverte; à l'étage 2 chambres, une salle de bains avec WC, un dressing. Un garage dans lequel peuvent tenir 3 voitures. Libre de suite."
3,140245911,"Parc suzanne lenglen studio de 25 m² - meuble situe boulevard gallieni au rez-de-jardin immeuble de standing des années 2000 comprenant: une entrée avec un coin cuisine, une salle de bain avec WC. Contact: ou honoraire d'agence fai = 652 euros à la charge des locataires."
4,144097839,"Issy-les-Moulineaux Dans un quartier calme et résidentiel, proche des commerces et des transports, très beau quatre-pièces de 80 m² entièrement rénové, offrant une vue dégagée sur Paris. Situé au cinquième étage d'un immeuble avec ascenseur, il se compose d'une entrée avec espaces de rangement, d'un salon, d'une salle à manger, de deux chambres, d'une cuisine non aménagée et non équipée, et d'une salle de douche. Chauffage et eau chaude collectifs, gardienne, digicode, interphone. En cas de bail code civil (bail au nom d'une société, résidence secondaire), honoraires charge locataire: 12 % TTC du loyer annuel hors charges."
5,145238867,"A 2 pas de la porte de Versailles nous vous proposons cet agréable 3 pièces en rez-de-chaussée comprenant une entrée avec placard, un séjour lumineux, 2 chambres, une cuisine aménagée, une salle de bains, ainsi qu'une cave en sous-sol. Le chauffage ainsi que l'eau froide sont inclus dans les charges. Possibilité de parking en sus. Libre immédiatement."
6,146209285,"Villa Marguerite, studio/2 Pièces de 40 M² loué en meublé, composé d'une entrée, double séjour, cuisine dinatoire équipée, salle d'eau WC; l'ensemble en parfait à 2MN du Tramway et de la porte de versailles."
7,146219603,"Issy-les-Moulineaux - Dans un quartier calme et résidentiel, proche des commerces et des transports, trois-pièces de 74 m² en cours de rénovation et sur deux niveaux, dont un en cour anglaise. Situé au rez-de-chaussée, il se compose d'une entrée, d'un salon, d'une salle à manger, d'une chambre en sous-sol, d'une grande cuisine non aménagée et non équipée donnant sur une petite terrasse privative, d'une salle de douche et de WC séparés. Chauffage et eau chaude collectifs, gardienne, digicode, interphone. En cas de bail code civil (bail au nom d'une société, résidence secondaire), honoraires charge locataire: 12 % TTC du loyer annuel hors charges."
8,146306781,"Vue DÉGAGÉE et LUMINEUX. 2 PIÈCES 33 M² au 2ème étage d'un immeuble en brique. Entrée, séjour, chambre, cuisine séparée aménagée et équipée, salle d'eau WC. Ou SMS."
9,146923787,"Issy-les-Moulineaux - Dans un quartier calme et résidentiel, proche des commerces et des transports, beau quatre-pièces de 78 m² très lumineux et actuellement en cours de rénovation. Situé au premier étage d'un immeuble avec ascenseur, il se compose d'une entrée avec espaces de rangement, d'un séjour, de deux chambres, d'une cuisine non aménagée et non équipée ainsi que d'une salle de douche. Chauffage et eau chaude collectifs, gardienne, digicode, interphone. Présence d'une cave. En cas de bail code civil (bail au nom d'une société, résidence secondaire), honoraires charge locataire: 12 % TTC du loyer annuel hors charges."
